academic_performance,internship,starting_salary
Medium,1,49213.56
High,1,67619.44
Medium,0,39499.34
Medium,1,34011.98
Low,0,37126.74
Low,0,23912.41
Low,0,32303.1
High,0,52689.51
Medium,0,40630.77
Medium,0,29332.07
Low,1,33184.27
High,1,47152.36
High,0,52268.66
Low,0,25574.35
Low,0,19379.31
Low,0,33558.1
Medium,0,33663.2
Medium,1,45673.23
Medium,1,41315.36
Low,0,34339.53
Medium,0,44130.99
Low,0,31189.7
Low,0,29462.83
Medium,1,42796.14
Medium,0,33975.22
Medium,1,42059.21
Low,0,32391.95
Medium,1,54773.01
Medium,0,42854.62
Low,0,33575.05
Medium,1,44460.92
Low,0,32631.34
Low,1,24260.74
High,0,46390.56
High,0,53518.34
High,1,58608.0
Medium,0,37283.26
Low,0,23458.15
Medium,0,39645.02
Medium,0,37827.74
Low,0,34703.07
Medium,1,48516.52
Low,0,37745.08
High,0,55552.28
Low,0,28629.48
Medium,0,41743.22
Medium,0,50172.06
Medium,0,37998.2
Medium,1,45874.64
Low,0,29978.1
High,1,55083.02
Medium,1,40629.49
High,1,61542.19
High,0,45414.09
Medium,1,54290.29
High,0,58193.55
Low,0,31254.47
Low,0,30028.19
Low,0,26115.12
Medium,0,40354.74
Medium,0,45400.53
Low,0,26578.84
High,0,57339.41
Medium,0,45125.29
Low,1,34469.47
Medium,0,43980.49
Low,1,30437.04
High,0,49484.93
Low,0,41084.82
High,0,55970.37
Medium,1,47491.49
Low,0,30344.76
Low,1,34628.93
High,1,54856.22
Medium,0,36131.36
Medium,0,43260.34
Medium,0,45222.0
Low,0,28739.32
Medium,1,47337.0
Low,1,31361.75
High,0,49666.31
Medium,0,35768.89
Medium,1,43865.19
Low,0,30597.0
Medium,1,48022.19
Medium,0,36936.88
Medium,1,47380.83
Medium,1,40218.3
High,0,51585.62
Medium,1,56055.06
Low,1,33143.06
Medium,1,38331.25
Medium,1,49483.33
Medium,1,46430.16
Medium,0,42291.87
Medium,1,51359.38
Medium,0,36446.32
Medium,1,41593.99
Low,0,32722.88
Low,1,40198.06
Low,0,31186.38
Medium,0,39642.84
Medium,1,46613.96
Medium,0,43667.74
High,1,47760.03
Low,0,25049.38
Medium,0,39556.05
Medium,0,43450.42
Low,0,40857.66
Low,1,34433.16
Low,0,31226.25
Low,0,26674.86
High,1,58285.66
High,1,49510.27
Medium,0,39942.94
High,1,50249.67
High,1,44438.19
Low,1,48468.95
High,1,59009.54
Medium,0,44044.25
High,0,54544.63
High,1,62125.32
Medium,1,45811.94
Low,0,34340.93
Low,0,27497.44
Medium,0,39138.9
High,1,47324.81
High,0,51009.66
Low,1,32350.02
Medium,0,39334.42
Medium,0,44145.63
Low,0,31510.32
Low,0,35150.27
Medium,0,37046.11
High,1,56909.3
Medium,0,36802.45
Medium,0,39119.77
Medium,0,38467.46
Medium,1,39931.05
High,0,47935.88
High,0,52887.38
Low,0,25420.52
Medium,0,36680.29
Medium,0,46218.4
Low,0,37089.38
Low,0,34160.29
Medium,0,48540.07
Medium,1,51823.28
Low,0,29557.7
Low,0,39945.77
High,1,62797.62
Low,0,29637.73
Low,0,31256.14
Medium,0,36690.81
High,1,54521.36
Low,0,22228.06
Medium,0,37067.52
Medium,1,48969.37
Low,0,24878.57
Medium,0,38434.01
Medium,1,47792.7
Medium,0,38552.16
Medium,0,45757.47
Medium,0,45984.88
Low,1,31910.3
High,0,47815.29
Medium,1,45224.67
Low,0,26674.78
Low,0,38168.48
Medium,1,42938.03
Medium,0,44554.29
Low,0,22513.66
Medium,0,36135.58
Low,0,24573.21
Medium,0,33778.96
Low,0,27418.21
Medium,1,46837.43
Medium,0,47667.21
High,0,48988.96
Low,0,30409.35
Medium,1,46696.38
Low,0,26357.73
High,0,49880.91
High,1,65438.3
Low,0,31940.8
Medium,1,55436.99
High,0,50120.0
Medium,0,36898.65
Medium,0,45217.55
Low,0,36319.28
