age,gender,urban_rural,last_year_income,gas_price,owns_ev,miles_driven,fixed_expenses
62,0,0,68469.13,2.97,0,11114,24229.5
43,1,0,108212.95,2.88,1,14432,23737.42
63,1,0,70245.48,3.08,0,14152,10602.99
48,0,0,72165.09,2.98,0,12461,14083.11
47,1,0,49918.35,3.19,0,11246,22264.88
33,0,0,111379.3,2.96,0,13555,24712.08
63,0,1,80950.26,3.01,0,12569,17668.67
24,0,0,55842.74,3.27,1,11090,23923.51
35,0,0,109986.0,3.11,1,13813,19118.13
40,0,1,93060.12,2.9,0,13148,19471.8
50,1,1,62950.91,2.98,1,12285,19513.45
33,0,1,78939.45,2.92,0,13315,24611.85
54,1,0,80791.93,2.88,1,13266,22148.76
65,0,0,82657.53,3.21,1,13459,19254.34
32,0,0,63369.69,2.88,0,15455,11990.31
44,1,0,76605.41,2.71,1,15663,17790.02
24,0,0,88018.53,3.04,1,11677,30043.19
38,0,0,71383.63,3.07,0,11598,13098.01
26,1,0,117371.89,3.12,1,13676,26133.31
61,0,1,141865.91,2.97,1,15032,24990.11
40,0,0,64012.62,2.7,0,12643,20941.96
60,0,1,70983.97,3.02,0,12200,18747.11
51,0,0,77024.36,2.87,1,11967,30648.78
54,0,0,55631.88,3.0,0,10027,28832.19
32,1,0,58306.02,2.91,1,11956,29783.34
28,1,0,51423.9,3.1,0,15513,18513.28
44,0,0,64722.78,2.77,1,12055,13224.68
32,1,0,94932.23,3.09,0,14124,24226.54
49,1,0,56023.24,2.84,0,11695,20095.03
42,0,0,69908.16,3.19,1,13479,17592.43
59,0,0,82848.29,2.95,0,11363,26109.13
42,1,0,56860.48,3.13,1,13067,15666.29
29,1,0,63125.6,2.84,1,12887,24096.86
31,0,1,88685.56,2.93,0,15819,14334.54
43,1,0,89133.68,3.12,1,13903,19785.8
42,0,0,98786.54,2.98,0,14883,20862.04
46,1,0,60709.2,2.9,0,11600,21476.21
39,0,1,66254.06,2.87,1,13605,20788.42
46,0,0,86654.27,2.97,1,14837,17357.46
39,1,0,91685.59,3.03,0,13427,29847.42
45,0,0,110190.91,2.75,0,13196,32280.58
50,1,1,122955.74,2.94,0,15271,28092.73
32,1,0,85231.94,2.87,0,12693,19913.68
38,0,0,113440.36,2.73,1,14103,19737.78
42,1,1,108963.56,2.98,1,16070,28239.27
47,1,0,82937.39,3.25,1,12427,17316.97
35,1,0,78272.63,2.95,0,12613,18194.23
43,0,0,51326.51,3.08,0,12819,19682.46
45,1,0,74686.5,2.95,1,14337,12195.84
56,0,1,90313.13,3.02,0,14085,18113.43
38,1,0,120776.5,3.11,1,14017,20250.17
46,0,1,54890.57,2.97,1,12251,12776.33
33,1,0,103184.18,2.95,0,13904,12006.0
42,0,1,92074.13,2.79,0,14685,23595.79
32,0,1,56241.12,3.02,0,11407,19524.51
57,0,0,100662.84,3.0,0,13688,15355.62
40,1,1,68414.06,2.86,0,12523,20697.69
52,1,0,65446.26,3.15,0,12434,13380.28
39,0,0,81714.12,3.02,1,11898,24655.45
56,1,0,95558.57,3.05,0,14159,19120.84
39,0,0,83377.13,3.14,1,12902,22174.31
37,1,0,75070.79,3.13,0,14099,14863.08
44,0,0,65916.63,3.17,0,10110,38785.0
53,1,0,71749.92,2.96,0,12480,16391.26
54,0,0,70766.0,3.11,0,12282,19775.79
44,0,1,79347.2,2.85,1,15106,17889.77
28,0,0,60504.22,2.98,0,13719,11782.87
44,1,0,74830.63,2.96,1,12320,23276.89
34,1,1,82544.7,3.07,0,14716,27285.9
49,1,0,68941.02,2.89,0,12625,14138.7
56,1,1,149682.02,2.91,1,15992,33573.91
42,1,0,57526.37,2.95,1,11284,22680.15
45,1,0,125333.08,3.01,1,14704,28221.85
27,1,0,115560.89,3.11,0,16461,18321.54
43,1,0,80032.86,3.07,1,11918,32188.07
30,1,0,108017.0,2.8,0,14654,20078.8
45,1,0,103453.54,3.0,1,13003,26171.67
38,1,0,104161.08,3.03,0,13122,25238.65
50,0,0,67844.61,2.83,1,11386,15581.63
27,1,0,60528.5,2.96,0,9619,35064.06
29,1,1,57027.06,2.99,1,12424,20576.01
47,0,1,95337.03,3.14,1,13227,35673.69
42,1,0,80963.26,2.97,1,11620,27600.53
44,1,0,96548.3,2.86,0,12568,28318.56
53,1,0,119864.91,2.91,1,13188,34727.85
41,0,0,76278.72,2.94,0,12824,17909.67
51,0,0,112414.7,2.91,1,14157,17031.7
42,1,0,76590.85,2.9,1,13677,16576.61
58,1,0,78449.33,2.94,0,12774,16581.33
46,0,0,80288.14,2.97,1,12041,23635.57
31,0,1,102002.13,3.0,1,13220,29041.47
38,0,0,94487.15,3.09,0,12707,23321.75
54,1,0,69505.57,2.92,0,11619,22227.09
37,0,0,121184.49,3.04,1,14194,28889.86
32,0,0,69604.88,2.97,1,10832,35100.35
41,1,1,54879.41,2.97,1,11896,20092.98
39,1,0,74467.19,3.07,1,11771,23307.26
45,0,1,71747.55,3.15,0,12915,15436.31
